dateupdated,shoe_type,avg_price
2016-05-18T00:09:36Z,Loafer,45
2016-05-18T00:09:36Z,Loafer,7.99
2016-05-18T00:09:36Z,Loafer,9.99
2016-08-04T04:07:24Z,Boot,299.99
2017-01-07T20:51:20Z,Sneaker,124.95
2017-01-07T20:51:20Z,Sneaker,124.95
2017-01-12T05:26:56Z,Shoe,63
2017-01-12T05:26:56Z,Shoe,13.99
2017-01-12T05:26:56Z,Shoe,23.99
2017-01-12T05:26:56Z,Shoe,22.99
2016-03-12T03:33:31Z,Shoe,45.9
2016-03-12T03:33:31Z,Shoe,54
2016-03-04T05:29:39Z,Shoe,14.99
2017-01-12T06:13:15Z,Loafer,43.98
2017-01-12T06:13:15Z,Loafer,110
2017-01-12T06:13:15Z,Loafer,24.99
2017-01-12T06:13:15Z,Loafer,31.99
2017-01-07T20:51:20Z,Shoe,56.99
2017-01-07T20:51:20Z,Shoe,51.99
2017-01-07T20:51:20Z,Shoe,63.98
2017-01-07T20:51:20Z,Shoe,65
2016-07-26T20:36:37Z,Oxford,420
2017-01-27T01:20:22Z,Boot,150
2016-03-04T03:34:49Z,Shoe,119.99
2017-01-20T18:57:45Z,Sneaker,64.99
2016-01-27T11:39:13Z,Shoe,100
2016-04-10T23:21:38Z,Shoe,39.99
2017-01-19T18:46:51Z,Boot,125
2017-01-19T18:46:51Z,Boot,125
2017-01-19T18:46:51Z,Boot,132.5
2016-11-15T13:13:18Z,Sneaker,151.99
2016-11-15T13:13:18Z,Sneaker,445
2017-01-14T19:32:55Z,Loafer,18.99
2017-01-14T19:32:55Z,Loafer,24.8
2016-10-05T14:52:32Z,Boot,125
2016-10-05T16:55:23Z,Sneaker,54.93
2016-04-02T03:00:16Z,Shoe,88
2016-04-02T03:00:16Z,Shoe,49.35
2016-04-02T03:00:16Z,Shoe,49.36
2016-04-02T03:00:16Z,Shoe,49.83
2016-04-02T03:00:16Z,Shoe,49.33
2016-06-29T15:10:12Z,Sneaker,74.99
2016-11-11T09:33:18Z,Oxford,24.99
2016-11-11T09:33:18Z,Oxford,90
2016-11-11T09:33:18Z,Oxford,25.99
2017-01-19T18:46:38Z,Shoe,69.99
2017-01-19T18:46:38Z,Shoe,198
2017-01-19T18:46:38Z,Shoe,59.99
2016-04-01T21:00:45Z,Shoe,60
2016-04-01T21:00:45Z,Shoe,65
2016-04-01T21:00:45Z,Shoe,109.99
2016-10-05T16:55:09Z,Boot,49.9
2016-10-05T16:55:09Z,Boot,65
2016-11-06T23:58:56Z,Shoe,57.16
